,product_id
964,7789
965,5849717
966,5831587
967,5863915
968,20896
969,5875780
970,5833334
971,5799430
972,5753485
973,5868460
974,5875784
975,5753493
976,5831585
977,5826419
978,5878923
979,5868459
980,5824135
981,5736023
982,5592510
983,5700854
984,5847433
985,5875381
986,5854812
987,5809907
988,5813498
989,5822266
990,5767912
991,5683556
992,5683563
993,5683578
994,5822318
995,5788134
996,5804656
997,5817898
998,5835868
999,5835869
1000,5723410
1001,5906098
1002,5887573
1003,5903728
1004,5710276
1005,5833335
1006,5695642
1007,6625
1008,5839704
1009,5683541
1010,5740686
1011,5759491
1012,5683543
1013,5660215
1014,5746056
1015,5886703
1016,26753
1017,5723509
1018,5760765
1019,5900633
1020,5763379
1021,5815758
1022,5773211
1023,5886696
1024,5875508
1025,5773344
1026,5884303
1027,5804466
1028,5809100
1029,5820770
1030,5839644
1031,5812121
1032,5804467
1033,5779406
1034,5824227
1035,5563766
1036,5857309
1037,5802650
1038,5639721
1039,5882566
1040,5885422
1041,5683633
1042,5837288
1043,5896712
1044,5908187
1045,5815492
1046,5908218
1047,5792800
1048,5885848
1049,5843545
1050,5843546
1051,5888537
1052,5781044
1053,5836204
1054,5815167
1055,5926
1056,5822643
1057,5813820
1058,5788127
1059,5847340
1060,5862573
1061,5821097
1062,5843378
1063,5635124
1064,5839672
1065,5822646
1066,5802440
1067,5809915
1068,5700037
1069,5896424
1070,5868559
1071,5770262
1072,5700038
1073,5812128
1074,5847439
1075,5831616
1076,5839638
1077,5683743
1078,5842654
1079,6652
1080,5884012
1081,5881653
1082,5881651
1083,5828679
1084,5812114
1085,5816172
1086,5565816
1087,5881652
1088,5622677
1089,5700049
1090,5565066
1091,5830318
1092,4743
1093,5830537
1094,5885419
1095,5787022
1096,5884033
1097,5830526
1098,5664641
1099,5830512
1100,5751383
1101,5809323
1102,5830505
1103,5908227
1104,5857942
1105,5908225
1106,5814066
1107,5857935
1108,5783931
1109,5825953
1110,5854835
1111,5758071
1112,5696902
1113,5908211
1114,5674709
1115,5848653
1116,5848628
1117,5908220
1118,5908204
1119,5862570
1120,5695956
1121,5639729
1122,5908196
1123,5645768
1124,5659772
1125,5824784
1126,5864736
1127,5864737
1128,5848093
1129,5824613
1130,5649238
1131,5832415
1132,5605922
1133,5818464
1134,5622689
1135,5784670
1136,5708569
1137,5814721
1138,5907845
1139,5771623
1140,5897983
1141,5867817
1142,5908241
1143,60181
1144,5787037
1145,5649471
1146,5885632
1147,5629984
1148,5768044
1149,5873618
1150,5798090
1151,5710612
1152,5895405
1153,5904497
1154,5904353
1155,5875296
1156,5878931
1157,5842150
1158,5830556
1159,5752939
1160,5809729
1161,5758630
1162,6192
1163,5881664
1164,5845264
1165,5882369
1166,5838658
1167,5885845
1168,5901622
1169,5901616
1170,5830554
1171,4591
1172,5903812
1173,34769
1174,5877490
1175,5903765
1176,5901623
1177,5866173
1178,5695489
1179,5808976
1180,5813931
1181,5807882
1182,5861603
1183,5861554
1184,5823778
1185,5848678
1186,5820709
1187,38004
1188,5809235
1189,5738758
1190,5865173
1191,5784040
1192,5850353
1193,5865175
1194,5865170
1195,5769917
1196,5803082
1197,5865172
1198,5836727
1199,5835327
1200,5780030
1201,5842618
1202,5533713
1203,5836724
1204,5650629
1205,5815774
1206,5848410
1207,5826651
1208,5757944
1209,5608703
1210,5800103
1211,5800101
1212,5830242
